Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,8/16/2019,20:30 (21:30),Bayern Munich,2.7,2 2,0.9,Hertha BSC,"75,000",Allianz Arena,Harm Osmers,Match Report,
1,Sat,8/17/2019,15:30 (16:30),Dortmund,2.4,5 1,0.7,Augsburg,"81,365",Signal Iduna Park,Frank Willenborg,Match Report,
1,Sat,8/17/2019,15:30 (16:30),Leverkusen,2.7,3 2,1.2,Paderborn 07,"26,208",BayArena,Tobias Stieler,Match Report,
1,Sat,8/17/2019,15:30 (16:30),Freiburg,2.1,3 0,0.9,Mainz 05,"24,000",Schwarzwald-Stadion,Robert Hartmann,Match Report,
1,Sat,8/17/2019,15:30 (16:30),Werder Bremen,2.4,1 3,0.9,DÃ¼sseldorf,"42,100",Weserstadion,Felix Zwayer,Match Report,
1,Sat,8/17/2019,15:30 (16:30),Wolfsburg,0.8,2 1,1,KÃ¶ln,"25,099",Volkswagen Arena,Sven Jablonski,Match Report,
1,Sat,8/17/2019,18:30 (19:30),M'gladbach,1.6,0 0,0.7,Schalke 04,"54,022",Stadion im Borussia-Park,Felix Brych,Match Report,
1,Sun,8/18/2019,15:30 (16:30),Eint Frankfurt,1.2,1 0,0.6,Hoffenheim,"50,200",Commerzbank-Arena,Daniel Siebert,Match Report,
1,Sun,8/18/2019,18:00 (19:00),Union Berlin,0.6,0 4,3.2,RB Leipzig,"22,467",Stadion An der Alten FÃ¶rsterei,Markus Schmidt,Match Report,

2,Fri,8/23/2019,20:30 (21:30),KÃ¶ln,0.8,1 3,1.7,Dortmund,"50,000",RheinEnergieSTADION,Christian Dingert,Match Report,
2,Sat,8/24/2019,15:30 (16:30),Paderborn 07,1.7,1 3,2.1,Freiburg,"14,322",Benteler-Arena,Tobias Welz,Match Report,
2,Sat,8/24/2019,15:30 (16:30),Mainz 05,1.2,1 3,1.5,M'gladbach,"28,005",Opel Arena,Martin Petersen,Match Report,
2,Sat,8/24/2019,15:30 (16:30),Hoffenheim,0.7,3 2,1.2,Werder Bremen,"27,333",PreZero Arena,Sascha Stegemann,Match Report,
2,Sat,8/24/2019,15:30 (16:30),DÃ¼sseldorf,1,1 3,1.8,Leverkusen,"44,538",Merkur Spielarena,Patrick Ittrich,Match Report,
2,Sat,8/24/2019,15:30 (16:30),Augsburg,1.5,1 1,1.1,Union Berlin,"27,703",WWK Arena,Robert SchrÃ¶der,Match Report,
2,Sat,8/24/2019,18:30 (19:30),Schalke 04,0.9,0 3,1.6,Bayern Munich,"62,271",Veltins-Arena,Marco Fritz,Match Report,
2,Sun,8/25/2019,15:30 (16:30),RB Leipzig,1.5,2 1,0.9,Eint Frankfurt,"40,108",Red Bull Arena,Benjamin Cortus,Match Report,
2,Sun,8/25/2019,18:00 (19:00),Hertha BSC,1.1,0 3,1.2,Wolfsburg,"42,738",Olympiastadion Berlin,Guido Winkmann,Match Report,

3,Fri,8/30/2019,20:30 (21:30),M'gladbach,1.1,1 3,2.3,RB Leipzig,"47,327",Stadion im Borussia-Park,Sven Jablonski,Match Report,
3,Sat,8/31/2019,15:30 (16:30),Schalke 04,1,3 0,0.8,Hertha BSC,"58,875",Veltins-Arena,Tobias Stieler,Match Report,
3,Sat,8/31/2019,15:30 (16:30),Wolfsburg,0.7,1 1,0.7,Paderborn 07,"23,750",Volkswagen Arena,Daniel Schlager,Match Report,
3,Sat,8/31/2019,15:30 (16:30),Freiburg,0.8,1 2,1.4,KÃ¶ln,"24,000",Schwarzwald-Stadion,Robert Kampka,Match Report,
3,Sat,8/31/2019,15:30 (16:30),Leverkusen,0.9,0 0,0.3,Hoffenheim,"26,506",BayArena,Felix Zwayer,Match Report,
3,Sat,8/31/2019,15:30 (16:30),Bayern Munich,2.6,6 1,0.4,Mainz 05,"75,000",Allianz Arena,Markus Schmidt,Match Report,
3,Sat,8/31/2019,18:30 (19:30),Union Berlin,2.1,3 1,1.8,Dortmund,"22,012",Stadion An der Alten FÃ¶rsterei,Felix Brych,Match Report,
3,Sun,9/1/2019,15:30 (16:30),Werder Bremen,2.5,3 2,1.5,Augsburg,"40,041",Weserstadion,SÃ¶ren Storks,Match Report,
3,Sun,9/1/2019,18:00 (19:00),Eint Frankfurt,1.3,2 1,0.6,DÃ¼sseldorf,"49,800",Commerzbank-Arena,Frank Willenborg,Match Report,

4,Fri,9/13/2019,20:30 (21:30),DÃ¼sseldorf,0.6,1 1,1.5,Wolfsburg,"36,758",Merkur Spielarena,Manuel GrÃ¤fe,Match Report,
4,Sat,9/14/2019,15:30 (16:30),Augsburg,1.8,2 1,1,Eint Frankfurt,"28,513",WWK Arena,Harm Osmers,Match Report,
4,Sat,9/14/2019,15:30 (16:30),Union Berlin,1.8,1 2,2.7,Werder Bremen,"22,012",Stadion An der Alten FÃ¶rsterei,Tobias Welz,Match Report,
4,Sat,9/14/2019,15:30 (16:30),Dortmund,2.2,4 0,0.7,Leverkusen,"81,365",Signal Iduna Park,Daniel Siebert,Match Report,
4,Sat,9/14/2019,15:30 (16:30),Mainz 05,1.8,2 1,2.2,Hertha BSC,"22,798",Opel Arena,Marco Fritz,Match Report,
4,Sat,9/14/2019,15:30 (16:30),KÃ¶ln,1,0 1,2,M'gladbach,"50,000",RheinEnergieSTADION,Deniz Aytekin,Match Report,
4,Sat,9/14/2019,18:30 (19:30),RB Leipzig,1.6,1 1,1.5,Bayern Munich,"42,146",Red Bull Arena,Sascha Stegemann,Match Report,
4,Sun,9/15/2019,15:30 (16:30),Hoffenheim,1.6,0 3,1.1,Freiburg,"29,395",PreZero Arena,Guido Winkmann,Match Report,
4,Sun,9/15/2019,18:00 (19:00),Paderborn 07,1.2,1 5,2.6,Schalke 04,"15,000",Benteler-Arena,Robert SchrÃ¶der,Match Report,

5,Fri,9/20/2019,20:30 (21:30),Schalke 04,1.2,2 1,1.1,Mainz 05,"58,687",Veltins-Arena,Daniel Schlager,Match Report,
5,Sat,9/21/2019,15:30 (16:30),Leverkusen,1.6,2 0,0.2,Union Berlin,"27,430",BayArena,Robert Hartmann,Match Report,
5,Sat,9/21/2019,15:30 (16:30),Hertha BSC,1.2,2 1,1.5,Paderborn 07,"43,588",Olympiastadion Berlin,Frank Willenborg,Match Report,
5,Sat,9/21/2019,15:30 (16:30),Freiburg,1.1,1 1,1,Augsburg,"23,800",Schwarzwald-Stadion,Bastian Dankert,Match Report,
5,Sat,9/21/2019,15:30 (16:30),Bayern Munich,2.6,4 0,0.8,KÃ¶ln,"75,000",Allianz Arena,Patrick Ittrich,Match Report,
5,Sat,9/21/2019,18:30 (19:30),Werder Bremen,0.7,0 3,1.5,RB Leipzig,"40,550",Weserstadion,Tobias Stieler,Match Report,
5,Sun,9/22/2019,15:30 (16:30),M'gladbach,2.8,2 1,1,DÃ¼sseldorf,"52,413",Stadion im Borussia-Park,Christian Dingert,Match Report,
5,Sun,9/22/2019,18:00 (19:00),Eint Frankfurt,1.2,2 2,2.2,Dortmund,"51,500",Commerzbank-Arena,Markus Schmidt,Match Report,
5,Mon,9/23/2019,20:30 (21:30),Wolfsburg,1.3,1 1,0.7,Hoffenheim,"21,120",Volkswagen Arena,Benjamin Cortus,Match Report,

6,Fri,9/27/2019,20:30 (21:30),Union Berlin,0.7,1 2,1.5,Eint Frankfurt,"22,012",Stadion An der Alten FÃ¶rsterei,Sascha Stegemann,Match Report,
6,Sat,9/28/2019,15:30 (16:30),Augsburg,0.3,0 3,1.1,Leverkusen,"27,113",WWK Arena,Robert Kampka,Match Report,
6,Sat,9/28/2019,15:30 (16:30),RB Leipzig,1.6,1 3,2.5,Schalke 04,"42,146",Red Bull Arena,Manuel GrÃ¤fe,Match Report,
6,Sat,9/28/2019,15:30 (16:30),Paderborn 07,0.3,2 3,3.5,Bayern Munich,"15,000",Benteler-Arena,Felix Zwayer,Match Report,
6,Sat,9/28/2019,15:30 (16:30),Hoffenheim,1.7,0 3,2,M'gladbach,"29,030",PreZero Arena,Harm Osmers,Match Report,
6,Sat,9/28/2019,15:30 (16:30),Mainz 05,0.7,0 1,0.5,Wolfsburg,"24,303",Opel Arena,Felix Brych,Match Report,
