Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90
1,Bayern Munich,13,9,2,2,38,11,27,29,2.23,35.6,11.4,24.2,1.86,13,9,2,2,37,15,22,29,2.23,30.3,15.7,14.6,1.13
2,Dortmund,13,10,3,0,45,10,35,33,2.54,28.4,15.2,13.2,1.02,13,6,3,4,27,23,4,21,1.62,18.4,16.8,1.6,0.12
3,M'gladbach,13,9,2,2,30,16,14,29,2.23,28.5,16.1,12.4,0.96,13,7,2,4,22,15,7,23,1.77,23.6,18.8,4.8,0.37
4,RB Leipzig,13,7,5,1,33,14,19,26,2,26.6,14.1,12.5,0.96,13,7,4,2,30,13,17,25,1.92,27,12.6,14.4,1.11
5,Leverkusen,13,7,4,2,25,13,12,25,1.92,26.4,13.1,13.3,1.02,13,8,1,4,24,18,6,25,1.92,16.5,18.9,-2.4,-0.2
6,Wolfsburg,13,4,6,3,16,13,3,18,1.38,18.3,13.1,5.2,0.4,13,6,3,4,20,18,2,21,1.62,18.4,14.9,3.5,0.27
7,Freiburg,12,6,2,4,16,14,2,20,1.67,13.9,17,-3.1,-0.26,14,4,5,5,19,22,-3,17,1.21,17.8,29.2,-11.4,-0.81
8,Schalke 04,13,5,6,2,18,18,0,21,1.62,16,16.3,-0.4,-0.03,13,4,4,5,15,22,-7,16,1.23,13.6,21.6,-8,-0.61
9,Hoffenheim,14,5,1,8,19,34,-15,16,1.14,23.4,23.9,-0.5,-0.04,12,5,4,3,16,12,4,19,1.58,13.5,18.5,-5,-0.42
10,KÃ¶ln,13,6,2,5,22,18,4,20,1.54,20.8,17.8,3,0.23,13,4,1,8,19,29,-10,13,1,17.5,19.4,-1.8,-0.14
11,Hertha BSC,13,3,3,7,14,28,-14,12,0.92,12.1,19.7,-7.5,-0.58,13,5,4,4,21,20,1,19,1.46,17.3,20.6,-3.3,-0.25
12,Union Berlin,13,6,1,6,18,18,0,19,1.46,15.9,18.6,-2.8,-0.21,13,3,2,8,14,25,-11,11,0.85,15.2,24.5,-9.3,-0.71
13,Eint Frankfurt,13,6,3,4,28,19,9,21,1.62,23,19.6,3.4,0.26,12,2,1,9,11,25,-14,7,0.58,12.8,17.9,-5.1,-0.42
14,Augsburg,13,5,3,5,25,23,2,18,1.38,20,18.3,1.7,0.13,13,2,3,8,12,31,-19,9,0.69,15.1,25.2,-10.1,-0.78
15,Mainz 05,13,4,2,7,15,21,-6,14,1.08,17.3,17.5,-0.2,-0.01,13,4,1,8,21,34,-13,13,1,17.7,27.1,-9.4,-0.72
16,DÃ¼sseldorf,13,3,4,6,13,23,-10,13,1,12.7,22.7,-9.9,-0.77,13,2,4,7,14,27,-13,10,0.77,13.1,23.2,-10.1,-0.78
17,Werder Bremen,12,1,2,9,9,30,-21,5,0.42,14.6,13.5,1.1,0.1,13,3,4,6,19,29,-10,13,1,14.4,23.4,-9,-0.69
18,Paderborn 07,13,2,1,10,17,31,-14,7,0.54,16.6,27.2,-10.6,-0.81,13,2,4,7,13,23,-10,10,0.77,13.1,22,-8.9,-0.69
