,celeb_bd,partner_bd,celeb_nominated,partner_nominated,marriage_status,celeb_gender,partner_gender
 Grace Hightower / Robert De Niro,1943-8-17,1955-4-7,True,False,"
(17 June 1997            - 
present) (    separated) (    2 children)          ",Male,Female
 Diahnne Abbott / Robert De Niro,1943-8-17,1945-5-1,True,False,"
(28 April 1976            - 
1988) (    divorced) (    2 children)          ",Male,Female
 Sandra Knight / Jack Nicholson,1937-4-22,1939-9-2,True,False,"
(17 June 1962            - 
8 August 1968) (    divorced) (    1 child)          ",Male,Female
 Tarita / Marlon Brando,1924-4-3,1941-12-29,True,True,"
(10 August 1962            - 
14 July 1972) (    divorced) (    2 children)          ",Male,Female
 Movita / Marlon Brando,1924-4-3,1916-4-12,True,False,"
(4 June 1960            - 
1962) (    divorced) (    2 children)          ",Male,Female
 Anna Kashfi / Marlon Brando,1924-4-3,1934-9-30,True,False,"
(11 October 1957            - 
22 April 1959) (    divorced) (    1 child)          ",Male,Female
 Pauletta Washington / Denzel Washington,1954-12-28,1950-9-28,True,False,"
(25 June 1983            - 
present) (    4 children)          ",Male,Female
 Lauren Bacall / Humphrey Bogart,1899-12-25,1924-9-16,True,True,"
(21 May 1945            - 
14 January 1957) (    his death) (    2 children)          ",Male,Female
 Mayo Methot / Humphrey Bogart,1899-12-25,1904-3-3,True,False,"
(21 August 1938            - 
10 May 1945) (    divorced)          ",Male,Female
 Mary Philips / Humphrey Bogart,1899-12-25,1901-1-23,True,False,"
(3 April 1928            - 
11 August 1938) (    divorced)          ",Male,Female
 Helen Menken / Humphrey Bogart,1899-12-25,1901-12-12,True,False,"
(20 May 1926            - 
18 November 1927) (    divorced)          ",Male,Female
 Rebecca Miller / Daniel Day-Lewis,1957-4-29,1962-9-15,True,False,"
(13 November 1996            - 
present) (    2 children)          ",Male,Female
 Kay Williams / Clark Gable,1901-2-1,1916-8-7,True,False,"
(11 July 1955            - 
16 November 1960) (    his death) (    1 child)          ",Male,Female
               Sylvia Ashley          / Clark Gable,1901-2-1,-1,True,False,"
(20 December 1949            - 
21 April 1952) (    divorced)          ",Male,-1
 Carole Lombard / Clark Gable,1901-2-1,1908-10-6,True,True,"
(29 March 1939            - 
16 January 1942) (    her death)          ",Male,Female
 Maria Franklin Gable / Clark Gable,1901-2-1,1884-1-17,True,False,"
(19 July 1931            - 
4 March 1939) (    divorced)          ",Male,Female
 Josephine Dillon / Clark Gable,1901-2-1,1884-1-26,True,False,"
(13 December 1924            - 
1 April 1930) (    divorced)          ",Male,Female
 Joanna Shimkus / Sidney Poitier,1927-2-20,1943-10-30,True,False,"
(23 January 1976            - 
present) (    2 children)          ",Male,Female
               Juanita Hardy          / Sidney Poitier,1927-2-20,-1,True,False,"
(29 April 1950            - 
1965) (    divorced) (    4 children)          ",Male,-1
 Veronique Peck / Gregory Peck,1916-4-5,1932-2-5,True,False,"
(31 December 1955            - 
12 June 2003) (    his death) (    2 children)          ",Male,Female
 Greta Kukkonen / Gregory Peck,1916-4-5,1911-1-25,True,False,"
(4 October 1942            - 
30 December 1955) (    divorced) (    3 children)          ",Male,Female
 Rita Wilson / Tom Hanks,1956-7-9,1956-10-26,True,False,"
(30 April 1988            - 
present) (    2 children)          ",Male,Female
 Samantha Lewes / Tom Hanks,1956-7-9,1952-11-29,True,False,"
(24 January 1978            - 
19 March 1987) (    divorced) (    2 children)          ",Male,Female
               Louise Ten Broeck Treadwell          / Spencer Tracy,1900-4-5,-1,True,False,"
(12 September 1923            - 
10 June 1967) (    his death) (    2 children)          ",Male,-1
 Gauri Khan / Shah Rukh Khan,1965-11-2,1970-10-8,False,False,"
(25 October 1991            - 
present) (    3 children)          ",Male,Female
 Barbara Harris / Cary Grant,1904-1-18,-1,True,False,"
(11 April 1981            - 
29 November 1986) (    his death)          ",Male,Female
 Dyan Cannon / Cary Grant,1904-1-18,1937-1-4,True,True,"
(22 July 1965            - 
21 March 1968) (    divorced) (    1 child)          ",Male,Female
 Betsy Drake / Cary Grant,1904-1-18,1923-9-11,True,False,"
(25 December 1949            - 
13 August 1962) (    divorced)          ",Male,Female
 Barbara Hutton / Cary Grant,1904-1-18,1912-11-14,True,False,"
(8 July 1942            - 
30 August 1945) (    divorced)          ",Male,Female
 Virginia Cherrill / Cary Grant,1904-1-18,1908-4-12,True,False,"
(9 February 1934            - 
26 March 1935) (    divorced)          ",Male,-1
 Joan Plowright / Laurence Olivier,1907-5-22,1929-10-28,True,True,"
(17 March 1961            - 
11 July 1989) (    his death) (    3 children)          ",Male,Female
 Vivien Leigh / Laurence Olivier,1907-5-22,1913-11-5,True,True,"
(31 August 1940            - 
6 January 1961) (    divorced)          ",Male,Female
 Jill Esmond / Laurence Olivier,1907-5-22,1908-1-26,True,False,"
(25 July 1930            - 
29 January 1940) (    divorced) (    1 child)          ",Male,Female
 Gloria Stewart / James Stewart,1908-5-20,1918-3-10,True,False,"
(9 August 1949            - 
16 February 1994) (    her death) (    2 children)          ",Male,Female
 Barbara Minty / Steve McQueen,1930-3-24,1953-6-11,True,False,"
(16 January 1980            - 
7 November 1980) (    his death)          ",Male,Female
 Ali MacGraw / Steve McQueen,1930-3-24,1939-4-1,True,True,"
(13 July 1973            - 
9 August 1978) (    divorced)          ",Male,Female
 Neile Adams / Steve McQueen,1930-3-24,1932-7-10,True,False,"
(2 November 1956            - 
14 March 1972) (    divorced) (    2 children)          ",Male,Female
 Linda Lee Cadwell / Bruce Lee,1940-11-27,1945-3-21,False,False,"
(17 August 1964            - 
20 July 1973) (    his death) (    2 children)          ",Male,Female
 Shirlee Fonda / Henry Fonda,1905-5-16,1932-0-0,True,False,"
(3 December 1965            - 
12 August 1982) (    his death)          ",Male,Female
 Leonarda Franchetti / Henry Fonda,1905-5-16,-1,True,False,"
(9 March 1957            - 
7 January 1961) (    divorced)          ",Male,-1
 Susan Blanchard / Henry Fonda,1905-5-16,1928-3-8,True,False,"
(28 December 1950            - 
2 May 1956) (    divorced) (    1 child)          ",Male,Female
               Frances Ford Seymour          / Henry Fonda,1905-5-16,-1,True,False,"
(16 September 1936            - 
14 April 1950) (    her death) (    2 children)          ",Male,-1
 Margaret Sullavan / Henry Fonda,1905-5-16,1909-5-16,True,True,"
(25 December 1931            - 
14 March 1933) (    divorced)          ",Male,Female
 Myrna Colley-Lee / Morgan Freeman,1937-6-1,-1,True,False,"
(16 June 1984            - 
15 September 2010) (    divorced)          ",Male,-1
               Jeanette Adair Bradshaw          / Morgan Freeman,1937-6-1,-1,True,False,"
(22 October 1967            - 
18 November 1979) (    divorced) (    2 children)          ",Male,-1
 Frances Cagney / James Cagney,1899-7-17,1899-6-19,True,False,"
(28 September 1922            - 
30 March 1986) (    his death) (    2 children)          ",Male,Female
 Amber Heard / Johnny Depp,1963-6-9,1986-4-22,True,False,"
(3 February 2015            - 
13 January 2017) (    divorced)          ",Male,Female
 Lori A. Depp / Johnny Depp,1963-6-9,1957-9-6,True,False,"
(24 December 1983            - 
7 March 1986) (    divorced)          ",Male,Male
 Oona Chaplin / Charles Chaplin,1889-4-16,1925-5-14,True,False,"
(16 June 1943            - 
25 December 1977) (    his death) (    8 children)          ",Male,Female
 Paulette Goddard / Charles Chaplin,1889-4-16,1910-6-3,True,True,"
(1 June 1936            - 
4 June 1942) (    divorced)          ",Male,Female
 Lita Grey / Charles Chaplin,1889-4-16,1908-4-15,True,False,"
(26 November 1924            - 
25 August 1927) (    divorced) (    2 children)          ",Male,Female
 Mildred Harris / Charles Chaplin,1889-4-16,1901-11-29,True,False,"
(23 October 1918            - 
4 April 1921) (    divorced) (    1 child)          ",Male,Female
 Joanne Woodward / Paul Newman,1925-1-26,1930-2-27,True,True,"
(29 January 1958            - 
26 September 2008) (    his death) (    3 children)          ",Male,Female
               Jacqueline Emily Witte          / Paul Newman,1925-1-26,-1,True,False,"
(27 December 1949            - 
28 January 1958) (    divorced) (    3 children)          ",Male,-1
 Stella Hopkins / Anthony Hopkins,1937-12-31,1956-3-20,True,False,"
(1 March 2003            - 
present)          ",Male,Female
               Jennifer Lynton          / Anthony Hopkins,1937-12-31,-1,True,False,"
(13 January 1973            - 
30 April 2002) (    divorced)          ",Male,-1
 Petronella Barker / Anthony Hopkins,1937-12-31,1945-0-0,True,False,"
(2 September 1967            - 
1972) (    divorced) (    1 child)          ",Male,Female
               Ludlow Ogden Smith          / Katharine Hepburn,1907-5-12,-1,True,False,"
(12 December 1928            - 
18 September 1941) (    divorced)          ",Female,-1
 Don Gummer / Meryl Streep,1949-6-22,1946-12-12,True,False,"
(30 September 1978            - 
present) (    4 children)          ",Female,Male
 Lars Schmidt / Ingrid Bergman,1915-8-29,1917-6-11,True,False,"
(21 December 1958            - 
1978) (    divorced)          ",Female,Male
 Roberto Rossellini / Ingrid Bergman,1915-8-29,1906-5-8,True,True,"
(24 May 1950            - 
7 November 1957) (    divorced) (    3 children)          ",Female,Male
               Dr. Petter Aron Lindström          / Ingrid Bergman,1915-8-29,-1,True,False,"
(10 July 1937            - 
9 February 1950) (    divorced) (    1 child)          ",Female,-1
